"orderNumber";"orderDate";"requiredDate";"shippedDate";"status";"customerNumber";"modelgroup";"totalCost";"itemQty"
10133;"2003-06-27 00:00:00";"2003-07-04 00:00:00";"2003-07-03 00:00:00";"Shipped";141;"Mazda";56.0;3
10134;"2003-07-01 00:00:00";"2003-07-10 00:00:00";"2003-07-05 00:00:00";"Shipped";250;"Nissan";106.0;2
10135;"2003-07-02 00:00:00";"2003-07-12 00:00:00";"2003-07-03 00:00:00";"Shipped";124;"Ford";66.0;3
10136;"2003-07-04 00:00:00";"2003-07-14 00:00:00";"2003-07-06 00:00:00";"Shipped";242;"Toyota";60.0;1
10137;"2003-07-10 00:00:00";"2003-07-20 00:00:00";"2003-07-14 00:00:00";"Shipped";353;"Mazda";92.0;3
10138;"2003-07-07 00:00:00";"2003-07-16 00:00:00";"2003-07-13 00:00:00";"Shipped";496;"Nissan";65.0;3
10139;"2003-07-16 00:00:00";"2003-07-23 00:00:00";"2003-07-21 00:00:00";"Shipped";282;"Ford";49.0;4
10140;"2003-07-24 00:00:00";"2003-08-02 00:00:00";"2003-07-30 00:00:00";"Shipped";161;"Ford";118.0;1
10141;"2003-08-01 00:00:00";"2003-08-09 00:00:00";"2003-08-04 00:00:00";"Shipped";334;"BMW";53.0;3
10142;"2003-08-08 00:00:00";"2003-08-16 00:00:00";"2003-08-13 00:00:00";"Shipped";124;"BMW";39.0;3
10143;"2003-08-10 00:00:00";"2003-08-18 00:00:00";"2003-08-12 00:00:00";"Shipped";320;"BMW";60.0;3
10144;"2003-08-13 00:00:00";"2003-08-21 00:00:00";"2003-08-14 00:00:00";"Shipped";381;"Ford";51.0;2
10145;"2003-08-25 00:00:00";"2003-09-02 00:00:00";"2003-08-31 00:00:00";"Shipped";205;"Ford";131.0;4
10146;"2003-09-03 00:00:00";"2003-09-13 00:00:00";"2003-09-06 00:00:00";"Shipped";447;"Ford";73.0;3
10147;"2003-09-05 00:00:00";"2003-09-12 00:00:00";"2003-09-09 00:00:00";"Shipped";379;"Ford";43.0;1
10148;"2003-09-11 00:00:00";"2003-09-21 00:00:00";"2003-09-15 00:00:00";"Shipped";276;"Ford";106.0;1
10149;"2003-09-12 00:00:00";"2003-09-18 00:00:00";"2003-09-17 00:00:00";"Shipped";487;"Toyota";66.0;4
10150;"2003-09-19 00:00:00";"2003-09-27 00:00:00";"2003-09-21 00:00:00";"Shipped";148;"Toyota";108.0;1
10151;"2003-09-21 00:00:00";"2003-09-30 00:00:00";"2003-09-24 00:00:00";"Shipped";311;"Nissan";101.0;1
10152;"2003-09-25 00:00:00";"2003-10-03 00:00:00";"2003-10-01 00:00:00";"Shipped";333;"Nissan";58.0;3
10153;"2003-09-28 00:00:00";"2003-10-05 00:00:00";"2003-10-03 00:00:00";"Shipped";141;"BMW";72.0;4
10154;"2003-10-02 00:00:00";"2003-10-12 00:00:00";"2003-10-08 00:00:00";"Shipped";219;"Ford";109.0;3
10155;"2003-10-06 00:00:00";"2003-10-13 00:00:00";"2003-10-07 00:00:00";"Shipped";186;"Mazda";125.0;2
10156;"2003-10-08 00:00:00";"2003-10-17 00:00:00";"2003-10-11 00:00:00";"Shipped";141;"Mazda";45.0;2
10157;"2003-10-09 00:00:00";"2003-10-15 00:00:00";"2003-10-14 00:00:00";"Shipped";473;"Nissan";43.0;1
10158;"2003-10-10 00:00:00";"2003-10-18 00:00:00";"2003-10-15 00:00:00";"Shipped";121;"Ford";58.0;3
10159;"2003-10-10 00:00:00";"2003-10-19 00:00:00";"2003-10-16 00:00:00";"Shipped";321;"Toyota";92.0;1
10160;"2003-10-11 00:00:00";"2003-10-17 00:00:00";"2003-10-17 00:00:00";"Shipped";347;"Mazda";32.0;3
10161;"2003-10-17 00:00:00";"2003-10-25 00:00:00";"2003-10-20 00:00:00";"Shipped";227;"Nissan";101.0;1
10162;"2003-10-18 00:00:00";"2003-10-26 00:00:00";"2003-10-19 00:00:00";"Shipped";321;"Ford";63.0;2
10163;"2003-10-20 00:00:00";"2003-10-27 00:00:00";"2003-10-24 00:00:00";"Shipped";424;"Ford";112.0;4
10164;"2003-10-21 00:00:00";"2003-10-30 00:00:00";"2003-10-23 00:00:00";"Resolved";452;"BMW";121.0;4
10165;"2003-10-22 00:00:00";"2003-10-31 00:00:00";"2003-12-26 00:00:00";"Shipped";148;"BMW";120.0;4
10166;"2003-10-21 00:00:00";"2003-10-30 00:00:00";"2003-10-27 00:00:00";"Shipped";462;"BMW";57.0;3
10168;"2003-10-28 00:00:00";"2003-11-03 00:00:00";"2003-11-01 00:00:00";"Shipped";161;"Ford";125.0;4
10169;"2003-11-04 00:00:00";"2003-11-14 00:00:00";"2003-11-09 00:00:00";"Shipped";276;"Ford";119.0;4
10170;"2003-11-04 00:00:00";"2003-11-12 00:00:00";"2003-11-07 00:00:00";"Shipped";452;"Ford";80.0;4
10171;"2003-11-05 00:00:00";"2003-11-13 00:00:00";"2003-11-07 00:00:00";"Shipped";233;"Ford";58.0;1
10172;"2003-11-05 00:00:00";"2003-11-14 00:00:00";"2003-11-11 00:00:00";"Shipped";175;"Toyota";91.0;1
10173;"2003-11-05 00:00:00";"2003-11-15 00:00:00";"2003-11-09 00:00:00";"Shipped";278;"Toyota";64.0;1
10174;"2003-11-06 00:00:00";"2003-11-15 00:00:00";"2003-11-10 00:00:00";"Shipped";333;"Nissan";35.0;1
10175;"2003-11-06 00:00:00";"2003-11-14 00:00:00";"2003-11-09 00:00:00";"Shipped";324;"Nissan";46.0;4
10176;"2003-11-06 00:00:00";"2003-11-15 00:00:00";"2003-11-12 00:00:00";"Shipped";386;"BMW";116.0;3
10177;"2003-11-07 00:00:00";"2003-11-17 00:00:00";"2003-11-12 00:00:00";"Shipped";344;"Ford";70.0;4
10178;"2003-11-08 00:00:00";"2003-11-16 00:00:00";"2003-11-10 00:00:00";"Shipped";242;"Mazda";34.0;3
10179;"2003-11-11 00:00:00";"2003-11-17 00:00:00";"2003-11-13 00:00:00";"Cancelled";496;"Mazda";62.0;3
10180;"2003-11-11 00:00:00";"2003-11-19 00:00:00";"2003-11-14 00:00:00";"Shipped";171;"Nissan";96.0;2
10181;"2003-11-12 00:00:00";"2003-11-19 00:00:00";"2003-11-15 00:00:00";"Shipped";167;"Ford";107.0;2
10182;"2003-11-12 00:00:00";"2003-11-21 00:00:00";"2003-11-18 00:00:00";"Shipped";124;"Toyota";107.0;3
10183;"2003-11-13 00:00:00";"2003-11-22 00:00:00";"2003-11-15 00:00:00";"Shipped";339;"Mazda";83.0;1
10184;"2003-11-14 00:00:00";"2003-11-22 00:00:00";"2003-11-20 00:00:00";"Shipped";484;"Nissan";126.0;3
10185;"2003-11-14 00:00:00";"2003-11-21 00:00:00";"2003-11-20 00:00:00";"Shipped";320;"Ford";108.0;4
10186;"2003-11-14 00:00:00";"2003-11-20 00:00:00";"2003-11-18 00:00:00";"Shipped";489;"Ford";55.0;3
10187;"2003-11-15 00:00:00";"2003-11-24 00:00:00";"2003-11-16 00:00:00";"Shipped";211;"BMW";110.0;3
10188;"2003-11-18 00:00:00";"2003-11-26 00:00:00";"2003-11-24 00:00:00";"Shipped";167;"BMW";108.0;4
10189;"2003-11-18 00:00:00";"2003-11-25 00:00:00";"2003-11-24 00:00:00";"Shipped";205;"BMW";128.0;2
10190;"2003-11-19 00:00:00";"2003-11-29 00:00:00";"2003-11-20 00:00:00";"Shipped";141;"Ford";88.0;4
10191;"2003-11-20 00:00:00";"2003-11-30 00:00:00";"2003-11-24 00:00:00";"Shipped";259;"Ford";107.0;2
10192;"2003-11-20 00:00:00";"2003-11-29 00:00:00";"2003-11-25 00:00:00";"Shipped";363;"Ford";43.0;4
10193;"2003-11-21 00:00:00";"2003-11-28 00:00:00";"2003-11-27 00:00:00";"Shipped";471;"Ford";89.0;3
10194;"2003-11-25 00:00:00";"2003-12-02 00:00:00";"2003-11-26 00:00:00";"Shipped";146;"Ford";110.0;3
10195;"2003-11-25 00:00:00";"2003-12-01 00:00:00";"2003-11-28 00:00:00";"Shipped";319;"Toyota";76.0;4
10196;"2003-11-26 00:00:00";"2003-12-03 00:00:00";"2003-12-01 00:00:00";"Shipped";455;"Toyota";50.0;1
10197;"2003-11-26 00:00:00";"2003-12-02 00:00:00";"2003-12-01 00:00:00";"Shipped";216;"Nissan";77.0;3
10198;"2003-11-27 00:00:00";"2003-12-06 00:00:00";"2003-12-03 00:00:00";"Shipped";385;"Nissan";44.0;1
10199;"2003-12-01 00:00:00";"2003-12-10 00:00:00";"2003-12-06 00:00:00";"Shipped";475;"BMW";57.0;3
10200;"2003-12-01 00:00:00";"2003-12-09 00:00:00";"2003-12-06 00:00:00";"Shipped";211;"Ford";130.0;3
10201;"2003-12-01 00:00:00";"2003-12-11 00:00:00";"2003-12-02 00:00:00";"Shipped";129;"Mazda";107.0;2
10202;"2003-12-02 00:00:00";"2003-12-09 00:00:00";"2003-12-06 00:00:00";"Shipped";357;"Mazda";55.0;2
10203;"2003-12-02 00:00:00";"2003-12-11 00:00:00";"2003-12-07 00:00:00";"Shipped";141;"Nissan";84.0;1
10204;"2003-12-02 00:00:00";"2003-12-10 00:00:00";"2003-12-04 00:00:00";"Shipped";151;"Ford";44.0;2
10205;"2003-12-03 00:00:00";"2003-12-09 00:00:00";"2003-12-07 00:00:00";"Shipped";141;"Toyota";115.0;2
10206;"2003-12-05 00:00:00";"2003-12-13 00:00:00";"2003-12-08 00:00:00";"Shipped";202;"Mazda";86.0;4
10207;"2003-12-09 00:00:00";"2003-12-17 00:00:00";"2003-12-11 00:00:00";"Shipped";495;"Nissan";77.0;1
10208;"2004-01-02 00:00:00";"2004-01-11 00:00:00";"2004-01-04 00:00:00";"Shipped";146;"Ford";46.0;3
10209;"2004-01-09 00:00:00";"2004-01-15 00:00:00";"2004-01-12 00:00:00";"Shipped";347;"Ford";40.0;3
10210;"2004-01-12 00:00:00";"2004-01-22 00:00:00";"2004-01-20 00:00:00";"Shipped";177;"BMW";128.0;3
10211;"2004-01-15 00:00:00";"2004-01-25 00:00:00";"2004-01-18 00:00:00";"Shipped";406;"BMW";70.0;4
10212;"2004-01-16 00:00:00";"2004-01-24 00:00:00";"2004-01-18 00:00:00";"Shipped";141;"BMW";63.0;3
10213;"2004-01-22 00:00:00";"2004-01-28 00:00:00";"2004-01-27 00:00:00";"Shipped";489;"Ford";125.0;1
10214;"2004-01-26 00:00:00";"2004-02-04 00:00:00";"2004-01-29 00:00:00";"Shipped";458;"Ford";99.0;3
10215;"2004-01-29 00:00:00";"2004-02-08 00:00:00";"2004-02-01 00:00:00";"Shipped";475;"Ford";57.0;2
10216;"2004-02-02 00:00:00";"2004-02-10 00:00:00";"2004-02-04 00:00:00";"Shipped";256;"Ford";74.0;2
10217;"2004-02-04 00:00:00";"2004-02-14 00:00:00";"2004-02-06 00:00:00";"Shipped";166;"Ford";44.0;4
10218;"2004-02-09 00:00:00";"2004-02-16 00:00:00";"2004-02-11 00:00:00";"Shipped";473;"Toyota";77.0;4
10219;"2004-02-10 00:00:00";"2004-02-17 00:00:00";"2004-02-12 00:00:00";"Shipped";487;"Toyota";131.0;4
10220;"2004-02-12 00:00:00";"2004-02-19 00:00:00";"2004-02-16 00:00:00";"Shipped";189;"Nissan";57.0;2
10221;"2004-02-18 00:00:00";"2004-02-26 00:00:00";"2004-02-19 00:00:00";"Shipped";314;"Nissan";45.0;2
10222;"2004-02-19 00:00:00";"2004-02-27 00:00:00";"2004-02-20 00:00:00";"Shipped";239;"BMW";30.0;4
10223;"2004-02-20 00:00:00";"2004-02-29 00:00:00";"2004-02-24 00:00:00";"Shipped";114;"Ford";94.0;1
10224;"2004-02-21 00:00:00";"2004-03-02 00:00:00";"2004-02-26 00:00:00";"Shipped";171;"Mazda";120.0;4
10225;"2004-02-22 00:00:00";"2004-03-01 00:00:00";"2004-02-24 00:00:00";"Shipped";298;"Mazda";56.0;2
10226;"2004-02-26 00:00:00";"2004-03-06 00:00:00";"2004-03-02 00:00:00";"Shipped";239;"Nissan";34.0;4
10227;"2004-03-02 00:00:00";"2004-03-12 00:00:00";"2004-03-08 00:00:00";"Shipped";146;"Ford";76.0;4
10228;"2004-03-10 00:00:00";"2004-03-18 00:00:00";"2004-03-13 00:00:00";"Shipped";173;"Toyota";99.0;1
10229;"2004-03-11 00:00:00";"2004-03-20 00:00:00";"2004-03-12 00:00:00";"Shipped";124;"Mazda";77.0;4
10230;"2004-03-15 00:00:00";"2004-03-24 00:00:00";"2004-03-20 00:00:00";"Shipped";128;"Nissan";132.0;4
10231;"2004-03-19 00:00:00";"2004-03-26 00:00:00";"2004-03-25 00:00:00";"Shipped";344;"Ford";74.0;2
10232;"2004-03-20 00:00:00";"2004-03-30 00:00:00";"2004-03-25 00:00:00";"Shipped";240;"Ford";55.0;2
10233;"2004-03-29 00:00:00";"2004-04-04 00:00:00";"2004-04-02 00:00:00";"Shipped";328;"BMW";81.0;4
10234;"2004-03-30 00:00:00";"2004-04-05 00:00:00";"2004-04-02 00:00:00";"Shipped";412;"BMW";104.0;4
10235;"2004-04-02 00:00:00";"2004-04-12 00:00:00";"2004-04-06 00:00:00";"Shipped";260;"BMW";48.0;1
10236;"2004-04-03 00:00:00";"2004-04-11 00:00:00";"2004-04-08 00:00:00";"Shipped";486;"Ford";80.0;1
10237;"2004-04-05 00:00:00";"2004-04-12 00:00:00";"2004-04-10 00:00:00";"Shipped";181;"Ford";92.0;1
10238;"2004-04-09 00:00:00";"2004-04-16 00:00:00";"2004-04-10 00:00:00";"Shipped";145;"Ford";111.0;2
10239;"2004-04-12 00:00:00";"2004-04-21 00:00:00";"2004-04-17 00:00:00";"Shipped";311;"Ford";91.0;1
10240;"2004-04-13 00:00:00";"2004-04-20 00:00:00";"2004-04-20 00:00:00";"Shipped";177;"Ford";56.0;1
10241;"2004-04-13 00:00:00";"2004-04-20 00:00:00";"2004-04-19 00:00:00";"Shipped";209;"Toyota";56.0;2
10242;"2004-04-20 00:00:00";"2004-04-28 00:00:00";"2004-04-25 00:00:00";"Shipped";456;"Toyota";111.0;1
10243;"2004-04-26 00:00:00";"2004-05-03 00:00:00";"2004-04-28 00:00:00";"Shipped";495;"Nissan";109.0;1
10244;"2004-04-29 00:00:00";"2004-05-09 00:00:00";"2004-05-04 00:00:00";"Shipped";141;"Nissan";104.0;2
10245;"2004-05-04 00:00:00";"2004-05-12 00:00:00";"2004-05-09 00:00:00";"Shipped";455;"BMW";130.0;3
10246;"2004-05-05 00:00:00";"2004-05-13 00:00:00";"2004-05-06 00:00:00";"Shipped";141;"Ford";114.0;4
10247;"2004-05-05 00:00:00";"2004-05-11 00:00:00";"2004-05-08 00:00:00";"Shipped";334;"Mazda";39.0;1
10249;"2004-05-08 00:00:00";"2004-05-17 00:00:00";"2004-05-11 00:00:00";"Shipped";173;"Nissan";90.0;2
10250;"2004-05-11 00:00:00";"2004-05-19 00:00:00";"2004-05-15 00:00:00";"Shipped";450;"Ford";88.0;3
10251;"2004-05-18 00:00:00";"2004-05-24 00:00:00";"2004-05-24 00:00:00";"Shipped";328;"Toyota";100.0;4
10252;"2004-05-26 00:00:00";"2004-06-04 00:00:00";"2004-05-29 00:00:00";"Shipped";406;"Mazda";127.0;1
10253;"2004-06-01 00:00:00";"2004-06-09 00:00:00";"2004-06-02 00:00:00";"Cancelled";201;"Nissan";33.0;1
10254;"2004-06-03 00:00:00";"2004-06-13 00:00:00";"2004-06-04 00:00:00";"Shipped";323;"Ford";48.0;4
10255;"2004-06-04 00:00:00";"2004-06-12 00:00:00";"2004-06-09 00:00:00";"Shipped";209;"Ford";65.0;4
10256;"2004-06-08 00:00:00";"2004-06-16 00:00:00";"2004-06-10 00:00:00";"Shipped";145;"BMW";133.0;1
10257;"2004-06-14 00:00:00";"2004-06-24 00:00:00";"2004-06-15 00:00:00";"Shipped";450;"BMW";123.0;1
10258;"2004-06-15 00:00:00";"2004-06-25 00:00:00";"2004-06-23 00:00:00";"Shipped";398;"BMW";134.0;3
10259;"2004-06-15 00:00:00";"2004-06-22 00:00:00";"2004-06-17 00:00:00";"Shipped";166;"Ford";107.0;2
10261;"2004-06-17 00:00:00";"2004-06-25 00:00:00";"2004-06-22 00:00:00";"Shipped";233;"Ford";53.0;2
10263;"2004-06-28 00:00:00";"2004-07-04 00:00:00";"2004-07-02 00:00:00";"Shipped";175;"Ford";90.0;1
10264;"2004-06-30 00:00:00";"2004-07-06 00:00:00";"2004-07-01 00:00:00";"Shipped";362;"Toyota";75.0;4
10265;"2004-07-02 00:00:00";"2004-07-09 00:00:00";"2004-07-07 00:00:00";"Shipped";471;"Toyota";93.0;1
10266;"2004-07-06 00:00:00";"2004-07-14 00:00:00";"2004-07-10 00:00:00";"Shipped";386;"Nissan";41.0;2
10267;"2004-07-07 00:00:00";"2004-07-17 00:00:00";"2004-07-09 00:00:00";"Shipped";151;"Nissan";37.0;2
10268;"2004-07-12 00:00:00";"2004-07-18 00:00:00";"2004-07-14 00:00:00";"Shipped";412;"BMW";92.0;2
10269;"2004-07-16 00:00:00";"2004-07-22 00:00:00";"2004-07-18 00:00:00";"Shipped";382;"Ford";78.0;2
10270;"2004-07-19 00:00:00";"2004-07-27 00:00:00";"2004-07-24 00:00:00";"Shipped";282;"Mazda";122.0;3
10271;"2004-07-20 00:00:00";"2004-07-29 00:00:00";"2004-07-23 00:00:00";"Shipped";124;"Mazda";74.0;2
10272;"2004-07-20 00:00:00";"2004-07-26 00:00:00";"2004-07-22 00:00:00";"Shipped";157;"Nissan";118.0;3
10273;"2004-07-21 00:00:00";"2004-07-28 00:00:00";"2004-07-22 00:00:00";"Shipped";314;"Ford";100.0;4
10274;"2004-07-21 00:00:00";"2004-07-29 00:00:00";"2004-07-22 00:00:00";"Shipped";379;"Toyota";51.0;1
10275;"2004-07-23 00:00:00";"2004-08-02 00:00:00";"2004-07-29 00:00:00";"Shipped";119;"Mazda";69.0;1
10276;"2004-08-02 00:00:00";"2004-08-11 00:00:00";"2004-08-08 00:00:00";"Shipped";204;"Nissan";75.0;3
10277;"2004-08-04 00:00:00";"2004-08-12 00:00:00";"2004-08-05 00:00:00";"Shipped";148;"Ford";52.0;1
10278;"2004-08-06 00:00:00";"2004-08-16 00:00:00";"2004-08-09 00:00:00";"Shipped";112;"Ford";33.0;1
10279;"2004-08-09 00:00:00";"2004-08-19 00:00:00";"2004-08-15 00:00:00";"Shipped";141;"BMW";108.0;1
10280;"2004-08-17 00:00:00";"2004-08-27 00:00:00";"2004-08-19 00:00:00";"Shipped";249;"BMW";46.0;4
10281;"2004-08-19 00:00:00";"2004-08-28 00:00:00";"2004-08-23 00:00:00";"Shipped";157;"BMW";131.0;2
10282;"2004-08-20 00:00:00";"2004-08-26 00:00:00";"2004-08-22 00:00:00";"Shipped";124;"Ford";60.0;1
10283;"2004-08-20 00:00:00";"2004-08-30 00:00:00";"2004-08-23 00:00:00";"Shipped";260;"Ford";30.0;2
10284;"2004-08-21 00:00:00";"2004-08-29 00:00:00";"2004-08-26 00:00:00";"Shipped";299;"Ford";96.0;1
10285;"2004-08-27 00:00:00";"2004-09-04 00:00:00";"2004-08-31 00:00:00";"Shipped";286;"Ford";76.0;2
10286;"2004-08-28 00:00:00";"2004-09-06 00:00:00";"2004-09-01 00:00:00";"Shipped";172;"Ford";35.0;2
10287;"2004-08-30 00:00:00";"2004-09-06 00:00:00";"2004-09-01 00:00:00";"Shipped";298;"Toyota";110.0;1
10288;"2004-09-01 00:00:00";"2004-09-11 00:00:00";"2004-09-05 00:00:00";"Shipped";166;"Toyota";132.0;2
10289;"2004-09-03 00:00:00";"2004-09-13 00:00:00";"2004-09-04 00:00:00";"Shipped";167;"Nissan";82.0;4
10290;"2004-09-07 00:00:00";"2004-09-15 00:00:00";"2004-09-13 00:00:00";"Shipped";198;"Nissan";108.0;1
10291;"2004-09-08 00:00:00";"2004-09-17 00:00:00";"2004-09-14 00:00:00";"Shipped";448;"BMW";117.0;4
10292;"2004-09-08 00:00:00";"2004-09-18 00:00:00";"2004-09-11 00:00:00";"Shipped";131;"Ford";132.0;1
10293;"2004-09-09 00:00:00";"2004-09-18 00:00:00";"2004-09-14 00:00:00";"Shipped";249;"Mazda";126.0;1
10294;"2004-09-10 00:00:00";"2004-09-17 00:00:00";"2004-09-14 00:00:00";"Shipped";204;"Mazda";56.0;4
10295;"2004-09-10 00:00:00";"2004-09-17 00:00:00";"2004-09-14 00:00:00";"Shipped";362;"Nissan";100.0;4
10296;"2004-09-15 00:00:00";"2004-09-22 00:00:00";"2004-09-16 00:00:00";"Shipped";415;"Ford";118.0;2
10297;"2004-09-16 00:00:00";"2004-09-22 00:00:00";"2004-09-21 00:00:00";"Shipped";189;"Toyota";58.0;3
10298;"2004-09-27 00:00:00";"2004-10-05 00:00:00";"2004-10-01 00:00:00";"Shipped";103;"Mazda";129.0;2
10299;"2004-09-30 00:00:00";"2004-10-10 00:00:00";"2004-10-01 00:00:00";"Shipped";186;"Nissan";124.0;2
10300;"2003-10-04 00:00:00";"2003-10-13 00:00:00";"2003-10-09 00:00:00";"Shipped";128;"Ford";57.0;4
10301;"2003-10-05 00:00:00";"2003-10-15 00:00:00";"2003-10-08 00:00:00";"Shipped";299;"Ford";87.0;3
10302;"2003-10-06 00:00:00";"2003-10-16 00:00:00";"2003-10-07 00:00:00";"Shipped";201;"BMW";84.0;4
10303;"2004-10-06 00:00:00";"2004-10-14 00:00:00";"2004-10-09 00:00:00";"Shipped";484;"BMW";66.0;2
10304;"2004-10-11 00:00:00";"2004-10-20 00:00:00";"2004-10-17 00:00:00";"Shipped";256;"BMW";78.0;3
10305;"2004-10-13 00:00:00";"2004-10-22 00:00:00";"2004-10-15 00:00:00";"Shipped";286;"Ford";117.0;1
10306;"2004-10-14 00:00:00";"2004-10-21 00:00:00";"2004-10-17 00:00:00";"Shipped";187;"Ford";76.0;2
10307;"2004-10-14 00:00:00";"2004-10-23 00:00:00";"2004-10-20 00:00:00";"Shipped";339;"Ford";103.0;1
10308;"2004-10-15 00:00:00";"2004-10-24 00:00:00";"2004-10-20 00:00:00";"Shipped";319;"Ford";50.0;1
10309;"2004-10-15 00:00:00";"2004-10-24 00:00:00";"2004-10-18 00:00:00";"Shipped";121;"Ford";118.0;4
10310;"2004-10-16 00:00:00";"2004-10-24 00:00:00";"2004-10-18 00:00:00";"Shipped";259;"Toyota";70.0;4
10311;"2004-10-16 00:00:00";"2004-10-23 00:00:00";"2004-10-20 00:00:00";"Shipped";141;"Toyota";91.0;4
10312;"2004-10-21 00:00:00";"2004-10-27 00:00:00";"2004-10-23 00:00:00";"Shipped";124;"Nissan";68.0;1
10313;"2004-10-22 00:00:00";"2004-10-28 00:00:00";"2004-10-25 00:00:00";"Shipped";202;"Nissan";63.0;3
10314;"2004-10-22 00:00:00";"2004-11-01 00:00:00";"2004-10-23 00:00:00";"Shipped";227;"BMW";100.0;2
10315;"2004-10-29 00:00:00";"2004-11-08 00:00:00";"2004-10-30 00:00:00";"Shipped";119;"Ford";119.0;1
10316;"2004-11-01 00:00:00";"2004-11-09 00:00:00";"2004-11-07 00:00:00";"Shipped";240;"Mazda";114.0;4
10317;"2004-11-02 00:00:00";"2004-11-12 00:00:00";"2004-11-08 00:00:00";"Shipped";161;"Mazda";113.0;1
10318;"2004-11-02 00:00:00";"2004-11-09 00:00:00";"2004-11-07 00:00:00";"Shipped";157;"Nissan";66.0;4
